-84.7755	0.5999
188.1881	0.4739
-1.8566	0.5702
88.9424	0.4430
84.7755	0.5999
171.8119	0.4739
1.8566	0.5702
-88.9424	0.4430
264.7755	0.5999
-8.1881	0.4739
181.8566	0.5702
91.0576	0.4430
95.2245	0.5999
8.1881	0.4739
178.1434	0.5702
268.9424	0.4430
-28.1768	0.9226
99.8756	0.3639
-86.8668	0.2742
222.2174	0.9864
-9.6869	0.2542
50.4252	0.8952
-59.3664	0.9725
178.8344	0.3861
170.3131	0.2542
230.4252	0.8952
120.6336	0.9725
-1.1656	0.3861
28.1768	0.9226
260.1244	0.3639
86.8668	0.2742
137.7826	0.9864
189.6869	0.2542
129.5748	0.8952
239.3664	0.9725
1.1656	0.3861
151.8232	0.9226
-80.1244	0.3639
93.1332	0.2742
42.2174	0.9864
208.1768	0.9226
80.1244	0.3639
266.8668	0.2742
-42.2174	0.9864
9.6869	0.2542
-50.4252	0.8952
59.3664	0.9725
181.1656	0.3861
241.8232	0.9226
9.8756	0.3639
183.1332	0.2742
132.2174	0.9864
99.6869	0.2542
39.5748	0.8952
149.3664	0.9725
-88.8344	0.3861
5.2245	0.5999
-81.8119	0.4739
88.1434	0.5702
178.9424	0.4430
118.1768	0.9226
-9.8756	0.3639
176.8668	0.2742
227.7826	0.9864
80.3131	0.2542
140.4252	0.8952
30.6336	0.9725
268.8344	0.3861
185.2245	0.5999
98.1881	0.4739
268.1434	0.5702
-1.0576	0.4430
174.7755	0.5999
261.8119	0.4739
91.8566	0.5702
1.0576	0.4430
-5.2245	0.5999
81.8119	0.4739
-88.1434	0.5702
181.0576	0.4430
61.8232	0.9226
189.8756	0.3639
3.1332	0.2742
-47.7826	0.9864
-61.8232	0.9226
170.1244	0.3639
-3.1332	0.2742
47.7826	0.9864
260.3131	0.2542
-39.5748	0.8952
210.6336	0.9725
88.8344	0.3861
-80.3131	0.2542
219.5748	0.8952
-30.6336	0.9725
91.1656	0.3861
